date,actual,predicted
2025-01-12 08:00:00,0.0,32.16
2025-01-12 09:00:00,17.856,24.9
2025-01-12 10:00:00,20.544,21.97
2025-01-12 11:00:00,20.064,21.8
2025-01-12 12:00:00,21.216,22.42
2025-01-12 13:00:00,22.656,24.06
2025-01-12 14:00:00,465.6,27.36
2025-01-12 15:00:00,280.032,31.7
2025-01-12 16:00:00,241.344,36.94
2025-01-12 17:00:00,520.512,42.3
2025-01-12 18:00:00,687.648,46.22
2025-01-12 19:00:00,686.88,49.53
2025-01-12 20:00:00,282.144,48.53
2025-01-12 21:00:00,0.0,44.94
2025-01-12 22:00:00,0.0,36.25
2025-01-12 23:00:00,0.0,25.86
2025-01-13 00:00:00,0.0,6.63
2025-01-13 01:00:00,0.0,91.8
2025-01-13 02:00:00,0.0,82.94
2025-01-13 03:00:00,0.0,88.6
2025-01-13 04:00:00,0.0,90.5
2025-01-13 05:00:00,0.0,77.06
2025-01-13 06:00:00,0.0,57.84
2025-01-13 07:00:00,0.0,42.72
2025-01-13 08:00:00,0.0,34.22
2025-01-13 09:00:00,17.664,32.2
2025-01-13 10:00:00,20.352,33.47
2025-01-13 11:00:00,21.12,36.62
2025-01-13 12:00:00,20.928,40.1
2025-01-13 13:00:00,20.928,42.06
2025-01-13 14:00:00,21.12,44.53
2025-01-13 15:00:00,21.12,46.62
2025-01-13 16:00:00,110.976,48.8
2025-01-13 17:00:00,537.696,53.03
2025-01-13 18:00:00,690.432,59.3
2025-01-13 19:00:00,169.632,66.3
2025-01-13 20:00:00,0.0,74.25
2025-01-13 21:00:00,0.0,82.25
2025-01-13 22:00:00,0.0,85.8
2025-01-13 23:00:00,0.0,82.7
2025-01-14 00:00:00,0.0,42.47
2025-01-14 01:00:00,0.0,118.9
2025-01-14 02:00:00,0.0,111.6
2025-01-14 03:00:00,0.0,124.94
2025-01-14 04:00:00,0.0,133.0
2025-01-14 05:00:00,0.0,124.4
2025-01-14 06:00:00,0.0,103.6
2025-01-14 07:00:00,0.0,82.94
2025-01-14 08:00:00,0.0,67.94
2025-01-14 09:00:00,10.08,58.22
2025-01-14 10:00:00,20.64,53.7
2025-01-14 11:00:00,20.352,51.84
2025-01-14 12:00:00,20.544,51.06
2025-01-14 13:00:00,21.216,51.78
2025-01-14 14:00:00,22.272,51.72
2025-01-14 15:00:00,72.672,51.28
2025-01-14 16:00:00,323.232,52.56
2025-01-14 17:00:00,549.024,55.12
2025-01-14 18:00:00,686.4,59.22
2025-01-14 19:00:00,686.976,64.2
2025-01-14 20:00:00,272.064,69.5
2025-01-14 21:00:00,0.0,76.0
2025-01-14 22:00:00,0.0,78.7
2025-01-14 23:00:00,0.0,74.94
2025-01-15 00:00:00,0.0,12.18
2025-01-15 01:00:00,0.0,139.6
2025-01-15 02:00:00,0.0,152.4
2025-01-15 03:00:00,0.0,172.9
2025-01-15 04:00:00,0.0,182.1
2025-01-15 05:00:00,0.0,170.4
2025-01-15 06:00:00,0.0,147.5
2025-01-15 07:00:00,0.0,119.7
2025-01-15 08:00:00,0.0,95.6
2025-01-15 09:00:00,17.568,77.56
2025-01-15 10:00:00,20.16,67.06
2025-01-15 11:00:00,20.064,60.8
2025-01-15 12:00:00,20.256,55.62
2025-01-15 13:00:00,56.736,52.34
2025-01-15 14:00:00,700.704,49.12
2025-01-15 15:00:00,597.6,46.25
2025-01-15 16:00:00,443.904,44.1
2025-01-15 17:00:00,584.928,42.28
2025-01-15 18:00:00,690.24,41.75
2025-01-15 19:00:00,689.28,42.4
2025-01-15 20:00:00,391.104,46.16
2025-01-15 21:00:00,0.0,51.56
2025-01-15 22:00:00,0.0,59.66
2025-01-15 23:00:00,0.0,66.6
2025-01-16 00:00:00,0.0,20.02
2025-01-16 01:00:00,0.0,154.1
2025-01-16 02:00:00,0.0,174.0
2025-01-16 03:00:00,0.0,200.0
2025-01-16 04:00:00,0.0,211.1
2025-01-16 05:00:00,0.0,203.5
2025-01-16 06:00:00,0.0,178.6
2025-01-16 07:00:00,0.0,148.9
2025-01-16 08:00:00,0.0,119.5
2025-01-16 09:00:00,17.376,94.3
2025-01-16 10:00:00,20.16,75.9
2025-01-16 11:00:00,19.776,64.44
2025-01-16 12:00:00,20.448,55.97
2025-01-16 13:00:00,37.152,50.38
2025-01-16 14:00:00,711.36,45.62
2025-01-16 15:00:00,592.608,42.6
2025-01-16 16:00:00,405.984,37.22
2025-01-16 17:00:00,571.392,33.03
2025-01-16 18:00:00,687.264,29.31
2025-01-16 19:00:00,687.936,26.58
2025-01-16 20:00:00,328.416,26.22
2025-01-16 21:00:00,0.0,28.52
2025-01-16 22:00:00,0.0,33.72
2025-01-16 23:00:00,0.0,43.97
2025-01-17 00:00:00,0.0,27.89
2025-01-17 01:00:00,0.0,157.1
2025-01-17 02:00:00,0.0,190.9
2025-01-17 03:00:00,0.0,231.6
2025-01-17 04:00:00,0.0,254.1
2025-01-17 05:00:00,0.0,251.5
2025-01-17 06:00:00,0.0,230.2
2025-01-17 07:00:00,0.0,197.5
2025-01-17 08:00:00,0.0,159.5
2025-01-17 09:00:00,17.664,123.44
2025-01-17 10:00:00,20.16,92.5
2025-01-17 11:00:00,19.68,70.5
2025-01-17 12:00:00,20.64,54.56
2025-01-17 13:00:00,22.272,44.56
2025-01-17 14:00:00,648.192,38.0
2025-01-17 15:00:00,579.936,33.7
2025-01-17 16:00:00,425.664,28.84
2025-01-17 17:00:00,580.608,23.47
2025-01-17 18:00:00,688.416,19.36
2025-01-17 19:00:00,686.976,15.41
2025-01-17 20:00:00,382.656,10.875
2025-01-17 21:00:00,0.0,8.26
2025-01-17 22:00:00,0.0,11.195
2025-01-17 23:00:00,0.0,20.61
2025-01-18 00:00:00,0.0,17.03
2025-01-18 01:00:00,0.0,153.9
2025-01-18 02:00:00,0.0,206.4
2025-01-18 03:00:00,0.0,263.8
2025-01-18 04:00:00,0.0,298.5
2025-01-18 05:00:00,0.0,306.5
2025-01-18 06:00:00,0.0,290.8
2025-01-18 07:00:00,0.0,257.8
2025-01-18 08:00:00,0.0,210.4
2025-01-18 09:00:00,17.76,159.5
2025-01-18 10:00:00,20.256,110.7
2025-01-18 11:00:00,19.872,74.44
2025-01-18 12:00:00,20.928,47.9
2025-01-18 13:00:00,22.656,34.75
2025-01-18 14:00:00,653.28,28.28
2025-01-18 15:00:00,475.2,25.36
2025-01-18 16:00:00,230.4,22.4
2025-01-18 17:00:00,529.632,19.06
2025-01-18 18:00:00,686.976,14.42
2025-01-18 19:00:00,685.536,8.44
2025-01-18 20:00:00,300.48,2.438
2025-01-18 21:00:00,0.0,-3.787
2025-01-18 22:00:00,0.0,-5.316
2025-01-18 23:00:00,0.0,2.164
2025-01-19 00:00:00,0.0,5.703
2025-01-19 01:00:00,0.0,144.4
2025-01-19 02:00:00,0.0,207.1
2025-01-19 03:00:00,0.0,282.5
2025-01-19 04:00:00,0.0,336.0
2025-01-19 05:00:00,0.0,360.0
2025-01-19 06:00:00,0.0,353.2
2025-01-19 07:00:00,0.0,321.8
2025-01-19 08:00:00,0.672,266.8
2025-01-19 09:00:00,20.352,200.5
2025-01-19 10:00:00,20.544,135.8
2025-01-19 11:00:00,20.736,83.7
2025-01-19 12:00:00,21.504,47.97
2025-01-19 13:00:00,22.848,29.27
2025-01-19 14:00:00,302.4,20.16
2025-01-19 15:00:00,391.68,16.64
2025-01-19 16:00:00,243.552,15.91
2025-01-19 17:00:00,548.736,14.82
2025-01-19 18:00:00,687.36,8.95
2025-01-19 19:00:00,684.768,3.924
2025-01-19 20:00:00,350.4,-4.59
2025-01-19 21:00:00,0.0,-11.734
2025-01-19 22:00:00,0.0,-17.2
2025-01-19 23:00:00,0.0,-11.47
2025-01-20 00:00:00,0.0,11.734
2025-01-20 01:00:00,0.0,140.8
2025-01-20 02:00:00,0.0,213.2
2025-01-20 03:00:00,0.0,304.5
2025-01-20 04:00:00,0.0,374.2
