발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
삼천포태양광#5,2, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,5.271,229.166,288.884,802.43,1604.517,3457.134,5684.863,4963.903,3912.861,4291.507,4018.351,3795.136,2008.911,0.0,0.0,0.0,0.0,35062.934,1461,5684.86,5.27,5684.863,0,남동발전량_2025_01.csv
광양항세방태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,4.8,153.6,369.6,542.4,926.4,806.4,1478.4,979.2,1188.0,441.6,103.2,0.0,0.0,0.0,0.0,0.0,0.0,6993.6,291,1478.4,4.8,1478.4,0,남동발전량_2025_01.csv
두산엔진MG태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.42,2.64,7.5,18.12,34.26,20.64,14.7,23.34,21.42,33.06,5.46,0.0,0.0,0.0,0.0,0.0,0.0,181.56,8,34.26,0.42,34.26,0,남동발전량_2025_01.csv
삼천포태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.192,9.528,25.5,38.088,46.86,50.448,46.752,40.944,35.052,20.124,2.544,0.0,0.0,0.0,0.0,0.0,0.0,316.032,13,50.44,0.192,50.448,0,남동발전량_2025_01.csv
삼천포태양광,2, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,3.648,75.264,377.28,630.624,744.768,793.824,768.48,671.712,519.648,264.288,40.704,0.0,0.0,0.0,0.0,0.0,0.0,4890.24,204,793.82,3.648,793.824,0,남동발전량_2025_01.csv
삼천포태양광,3, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.396,12.672,124.308,224.712,259.524,274.356,263.772,229.176,178.992,61.596,7.74,0.0,0.0,0.0,0.0,0.0,0.0,1637.244,68,274.35,0.396,274.356,0,남동발전량_2025_01.csv
삼천포태양광,4, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.328,42.943,95.42,91.868,139.966,508.868,1389.262,1217.998,985.103,1188.742,1187.113,1172.989,428.545,0.0,0.0,0.0,0.0,8449.145,352,1389.26,0.328,1389.262,0,남동발전량_2025_01.csv
구미태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,8.967,56.117,160.035,231.7,290.42,322.239,633.414,569.559,254.985,42.522,0.0,0.0,0.0,0.0,0.0,0.0,2569.958,107,633.41,8.967,633.414,0,남동발전량_2025_01.csv
삼천포태양광#6,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,61.849,85.57,81.211,82.897,77.321,281.453,585.759,476.468,553.096,636.67,629.341,270.44,0.0,0.0,0.0,0.0,3822.075,159,636.67,61.849,636.67,0,남동발전량_2025_01.csv
영흥태양광#5,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,156.684,732.8,1414.979,1627.105,2531.053,2458.737,1846.463,1622.284,1178.747,132.579,0.0,0.0,0.0,0.0,0.0,0.0,13701.431,571,2531.05,132.57,2531.053,0,남동발전량_2025_01.csv
