년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2022-01-08,1,999.6,3841.415,160.059,749.192,0,749.192,0.723,0,0,0,0,0,0,0,0.723,49.175,255.998,269.015,626.978,749.192,711.587,608.176,417.262,146.801,6.508,0,0,0,0,0,0
2022-01-09,1,999.6,1876.596,78.192,453.42,0,453.42,11.571,0,0,0,0,0,0,0,0,23.141,179.343,453.42,275.523,219.117,190.191,237.196,173.558,113.536,11.571,0,0,0,0,0,0
2022-01-10,1,999.6,3507.315,146.138,705.802,0,705.802,2.893,0,0,0,0,0,0,0,2.893,91.841,326.867,525.736,650.842,705.802,519.227,489.578,174.281,20.248,0,0,0,0,0,0,0
2022-01-11,1,999.6,1784.753,74.365,468.606,0,468.606,5.062,0,0,0,0,0,0,0,0,55.683,99.073,130.892,303.003,468.606,293.602,234.303,138.846,55.683,5.062,0,0,0,0,0,0
2022-01-12,1,999.6,3367.023,140.293,750.638,0,750.638,12.294,0,0,0,0,0,0,0,0,29.649,74.485,169.219,295.772,750.638,715.203,682.661,455.589,181.513,12.294,0,0,0,0,0,0
2022-01-13,1,999.6,2082.694,86.779,464.267,0,464.267,18.802,0,0,0,0,0,0,0,0,73.762,151.14,104.135,185.128,245.151,340.607,464.267,397.737,101.965,18.802,0,0,0,0,0,0
2022-01-14,1,999.6,3692.444,153.852,792.581,0,792.581,10.124,0,0,0,0,0,0,0,0,25.311,166.326,565.509,671.814,792.581,756.423,389.782,214.055,100.519,10.124,0,0,0,0,0,0
2022-01-15,1,999.6,2091.372,87.141,494.64,0,494.64,8.678,0,0,0,0,0,0,0,0,18.802,93.287,203.931,494.64,379.658,328.314,230.687,240.088,93.287,8.678,0,0,0,0,0,0
2022-01-16,1,999.6,3925.3,163.554,709.418,0,709.418,19.525,0,0,0,0,0,0,0,0,54.96,105.581,466.437,647.226,709.418,664.582,622.639,450.527,184.405,19.525,0,0,0,0,0,0
2022-01-17,1,999.6,2748.724,114.53,557.555,0,557.555,0.723,0,0,0,0,0,0,0,0.723,63.638,173.558,379.658,444.742,557.555,447.635,344.946,258.891,68.7,8.678,0,0,0,0,0,0
2022-01-18,1,999.6,4935.552,205.648,791.858,0,791.858,1.446,0,0,0,0,0,0,0,1.446,112.089,431.725,650.119,762.932,791.858,761.485,677.599,501.148,228.518,16.633,0,0,0,0,0,0
2022-01-19,1,999.6,3816.104,159.004,732.559,0,732.559,4.339,0,0,0,0,0,0,0,4.339,91.118,345.669,433.172,680.492,732.559,560.447,434.618,413.646,101.242,18.802,0,0,0,0,0,0
2022-01-20,1,999.6,4876.255,203.177,824.4,0,824.4,2.893,0,0,0,0,0,0,0,2.893,125.106,437.511,655.181,776.672,824.4,788.242,681.215,366.641,200.315,18.079,0,0,0,0,0,0
2022-01-21,1,999.6,3118.255,129.927,687.723,0,687.723,1.446,0,0,0,0,0,0,0,1.446,117.152,404.968,592.266,687.723,604.56,267.568,206.1,132.338,101.965,2.169,0,0,0,0,0,0
2022-01-22,1,999.6,1166.453,48.602,402.799,0,402.799,4.339,0,0,0,0,0,0,0,0,4.339,25.311,52.067,74.485,110.643,402.799,339.884,104.858,47.005,5.062,0,0,0,0,0,0
2022-01-23,1,999.6,794.752,33.115,122.214,0,122.214,7.232,0,0,0,0,0,0,0,0,7.232,54.96,122.214,88.948,117.152,111.366,122.214,105.581,53.514,11.571,0,0,0,0,0,0
2022-01-24,1,999.6,1133.911,47.246,304.449,0,304.449,10.124,0,0,0,0,0,0,0,0,10.124,19.525,31.096,31.096,60.022,208.993,304.449,299.387,149.694,19.525,0,0,0,0,0,0
2022-01-25,1,999.6,546.707,22.779,122.214,0,122.214,2.169,0,0,0,0,0,0,0,0,5.062,38.327,96.903,122.214,77.378,54.96,72.316,54.237,23.141,2.169,0,0,0,0,0,0
2022-01-26,1,999.6,3873.956,161.415,707.972,0,707.972,2.893,0,0,0,0,0,0,0,2.893,106.304,245.874,491.747,673.26,707.972,689.169,482.346,321.082,133.061,20.248,0,0,0,0,0,0
2022-01-27,1,999.6,2501.404,104.225,419.432,0,419.432,2.893,0,0,0,0,0,0,0,2.893,122.214,263.229,415.093,271.907,315.297,419.432,212.608,269.015,190.914,18.802,0,0,0,0,0,0
2022-01-28,1,999.6,4686.062,195.253,856.219,0,856.219,1.446,0,0,0,0,0,0,0,1.446,53.514,372.426,655.181,786.796,856.219,734.728,591.543,425.217,180.066,28.926,0,0,0,0,0,0
2022-01-29,1,999.6,2633.017,109.709,501.872,0,501.872,21.695,0,0,0,0,0,0,0,0,21.695,102.688,222.009,403.522,501.872,417.985,431.002,353.624,152.586,26.034,0,0,0,0,0,0
2022-01-30,1,999.6,3706.183,154.424,783.18,0,783.18,2.169,0,0,0,0,0,0,0,2.169,65.807,323.252,539.476,783.18,339.884,594.436,536.583,233.58,249.489,38.327,0,0,0,0,0,0
2022-01-31,1,999.6,5240.004,218.334,835.971,0,835.971,7.232,0,0,0,0,0,0,0,7.232,167.049,456.313,660.243,786.796,835.971,799.813,690.616,527.905,259.614,48.452,0,0,0,0,0,0
2022-02-01,1,999.6,4340.395,180.85,726.774,0,726.774,5.062,0,0,0,0,0,0,0,5.062,108.474,308.065,530.798,540.199,657.351,726.774,685.554,469.329,250.936,57.853,0,0,0,0,0,0
2022-02-02,1,999.6,2622.894,109.287,445.465,0,445.465,0.723,0,0,0,0,0,0,0,0.723,64.361,175.727,273.354,284.924,445.465,399.906,410.754,378.212,162.711,26.757,0,0,0,0,0,0
2022-02-03,1,999.6,3516.718,146.53,801.259,0,801.259,2.893,0,0,0,0,0,0,0,2.893,78.101,167.773,454.866,703.633,801.259,623.362,350.008,214.055,94.734,26.034,0,0,0,0,0,0
2022-02-04,1,999.6,4711.373,196.307,765.101,0,765.101,7.955,0,0,0,0,0,0,0,7.955,166.326,445.465,642.887,765.101,744.853,686.277,720.988,398.46,107.027,26.034,0,0,0,0,0,0
2022-02-05,1,999.6,1524.417,63.517,452.697,0,452.697,0.723,0,0,0,0,0,0,0,0,0.723,5.785,24.587,66.531,215.501,289.263,348.562,452.697,109.197,11.571,0,0,0,0,0,0
2022-02-06,1,999.6,4649.18,193.716,834.524,0,834.524,0.723,0,0,0,0,0,0,0,0.723,43.389,186.575,576.357,783.18,834.524,834.524,747.745,350.008,235.749,56.406,0,0,0,0,0,0
2022-02-07,1,999.6,2584.566,107.69,592.989,0,592.989,7.955,0,0,0,0,0,0,0,7.955,126.553,423.771,592.989,466.437,208.269,352.178,175.004,120.044,87.502,23.864,0,0,0,0,0,0
2022-02-08,1,999.6,5294.239,220.593,833.078,0,833.078,0.723,0,0,0,0,0,0,0,10.124,177.174,450.527,662.413,779.564,833.078,810.66,681.938,532.244,289.263,66.531,0.723,0,0,0,0,0
2022-02-09,1,999.6,3447.293,143.637,603.837,0,603.837,10.124,0,0,0,0,0,0,0,10.124,153.309,396.291,593.713,603.837,590.82,427.386,326.867,180.789,138.123,26.034,0,0,0,0,0,0
2022-02-10,1,999.6,3816.104,159.004,819.338,0,819.338,0.723,0,0,0,0,0,0,0,0,33.265,148.971,193.806,250.936,710.141,819.338,731.836,550.323,305.896,70.869,0.723,0,0,0,0,0
2022-02-11,1,999.6,5174.195,215.591,815.722,0,815.722,11.571,0,0,0,0,0,0,0,11.571,175.727,430.279,634.933,757.146,815.722,792.581,705.079,470.053,310.958,70.146,0,0,0,0,0,0
2022-02-12,1,999.6,1674.833,69.785,284.201,0,284.201,0.723,0,0,0,0,0,0,0,0.723,52.791,103.412,142.462,198.868,248.043,284.201,278.416,226.348,115.705,23.864,0,0,0,0,0,0
2022-02-13,1,999.6,1047.132,43.631,193.083,0,193.083,4.339,0,0,0,0,0,0,0,0,4.339,153.309,169.942,161.264,193.083,168.496,95.457,60.745,30.373,10.124,0,0,0,0,0,0
